sense,sentence,sentence_mod_orth,sentence_lemmatized
animal,Presque tous les Naturalites avoient confondu la civette et le zibet et les avoient cru de la même espèce .,Presque tous les Naturalites avaient confondu la civette et le zibet et les avaient cru de la même espèce ., presque tout le Naturalites avoir confondre le civette et le zibet et le avoir cru de le même espèce .
animal,La civette se nomme kastor dans la Guinée .,La civette se nomme kastor dans la Guinée ., le civette se nommer kastor dans le Guinée .
animal,La Genette habite l'Espagne la Turquie Européenne et delà vient qu'elle est plus petite plus douce et moins cruelle que la civette .,La Genette habite l'Espagne la Turquie Européenne et delà vient qu'elle est plus petite plus douce et moins cruelle que la civette ., le Genette habiter le Espagne le Turquie européen et delà venir que il être plus petit plus doux et moins cruel que le civette .
animal,Leur espèce tient un peu de celle des Fouines elles sont les antipodes de la civette et de la Genette .,Leur espèce tient un peu de celle des Fouines elles sont les antipodes de la civette et de la Genette ., son espèce tenir un peu de celui de le Fouines il être le antipode de le civette et de le Genette .
animal,L'Académie a déjà donné il y a long-temps une description anatomique de la civette accompagnée de planches et le sac où cet animal porte le parfum qui lui est particulier ne manqua pas d'être décrit avec le reste .,L'Académie a déjà donné il y a longtemps une description anatomique de la civette accompagnée de planches et le sac où cet animal porte le parfum qui lui est particulier ne manqua pas d'être décrit avec le reste ., le académie avoir déjà donner il y avoir longtemps un description anatomique de le civette accompagner de planche et le sac où ce animal porter le parfum qui lui être particulier ne manquer pas de être décrire avec le reste .
animal,Il pend extérieurement entre les cuisses de la civette .,Il pend extérieurement entre les cuisses de la civette ., il pendre extérieurement entre le cuisse de le civette .
animal,On en avoit grossiérement découpé toutes les parties et on n'avoit épargné que le sac où la civette porte son parfum .,On en avait grossiérement découpé toutes les parties et on n'avait épargné que le sac où la civette porte son parfum ., on en avoir grossiérement découper tout le partie et on ne avoir épargner que le sac où le civette porter son parfum .
animal,Il est vrai que l'on ne connoît pas assez la civette pour savoir en quelle occasion elle jette son huile quel usage elle en fait .,Il est vrai que l'on ne connait pas assez la civette pour savoir en quelle occasion elle jette son huile quel usage elle en fait ., il être vrai que on ne connaître pas assez le civette pour savoir en quel occasion il jeter son huile quel usage il en faire .
animal,Le sac du parfum commun à la civette mâle et femelle et situé entre l'anus et le sexe de l'animal a son ouverture parallele à celle de l'anus .,Le sac du parfum commun à la civette mâle et femelle et situé entre l'anus et le sexe de l'animal a son ouverture parallèle à celle de l'anus ., le sac de le parfum commun à le civette mâle et femelle et situer entre le anus et le sexe de le animal avoir son ouverture parallèle à celui de le anus .
animal,Ces deux pouches sont beaucoup plus grosses que les testicules de la civette qui les porte et je suis surpris de voir que quelques Auteurs anciens les aient confondus .,Ces deux pouches sont beaucoup plus grosses que les testicules de la civette qui les porte et je suis surpris de voir que quelques Auteurs anciens les aient confondus ., ce deux pouche être beaucoup plus gros que le testicule de le civette qui le porter et il être surprendre de voir que quelque auteur ancien le avoir confondre .
animal,Ces muscles ayant été endommagés dans notre civette je n'ai pu suivre ni déterminer leurs attaches non plus que celles d'un muscle commun aux deux poches dont les Anatomistes font mention .,Ces muscles ayant été endommagés dans notre civette je n'ai pu suivre ni déterminer leurs attaches non plus que celles d'un muscle commun aux deux poches dont les Anatomistes font mention ., ce muscle avoir être endommager dans son civette il ne avoir pouvoir suivre ni déterminer son attache non plus que celui de un muscle commun à le deux poche dont le anatomiste faire mention .
animal,Mais Scaliger Ruel Matthiole Léon Africain Busbec Aldrovandus et autres modernes veulent que la civette ait été inconnue aux anciens et que ce soit une espèce de chat .,Mais Scaliger Ruel Matthiole Léon Africain Busbec Aldrovandus et autres modernes veulent que la civette ait été inconnue aux anciens et que ce soit une espèce de chat ., mais Scaliger Ruel Matthiole Léon Africain Busbec Aldrovandus et autre moderne vouloir que le civette avoir être inconnu à le ancien et que ce être un espèce de chat .
animal,Les deux principales marques que les Anciens disent convenir à leur hyene se trouvent aussi dans la civette .,Les deux principales marques que les Anciens disent convenir à leur hyène se trouvent aussi dans la civette ., le deux principal marque que le ancien dire convenir à son hyène se trouver aussi dans le civette .
animal,Mais au contraire ajoute M Perrault il y a dans la description que les anciens ont faite de leur hyene quantité de choses qui ne conviennent point à la civette .,Mais au contraire ajoute M Perrault il y a dans la description que les anciens ont faite de leur hyène quantité de choses qui ne conviennent point à la civette ., mais à le contraire ajouter M Perrault il y avoir dans le description que le ancien avoir faire de son hyène quantité de chose qui ne convenir point à le civette .
animal,la longeur de la tête de la civette la petitesse de ses pattes la rudesse de son poil la douceur des pointes de sa langue la couleur et la forme de ses ongles et la ténacité de sa voix sont des caracteres tout-à-fait différens de ceux qui se voient dans toutes les especes de chats .,la longeur de la tête de la civette la petitesse de ses pattes la rudesse de son poil la douceur des pointes de sa langue la couleur et la forme de ses ongles et la ténacité de sa voix sont des caracteres tout-à-fait différents de ceux qui se voient dans toutes les espèces de chats ., le longeur de le tête de le civette le petitesse de son patte le rudesse de son poil le douceur de le pointe de son langue le couleur et le forme de son ongle et le ténacité de son voix être un caractere tout-à-fait différent de celui qui se voir dans tout le espèce de chat .
animal,La civette est commune dans cette partie de l'Afrique qui est entre le Niger et les montagnes d'Atlas .,La civette est commune dans cette partie de l'Afrique qui est entre le Niger et les montagnes d'Atlas ., le civette être commun dans ce partie de le Afrique qui être entre le Niger et le montagne de Atlas .
animal,Ce qu'on recherche de la civette est sa liqueurs onctueuse et épaisse comme une sueur condensée qui s'amasse dans une poche placée dans les mâles entre leurs testicules et leur membre et dans les femelles entre la nature et l'anus .,Ce qu'on recherche de la civette est sa liqueurs onctueuse et épaisse comme une sueur condensée qui s'amasse dans une poche placée dans les mâles entre leurs testicules et leur membre et dans les femelles entre la nature et l'anus ., ce que on rechercher de le civette être son liqueur onctueux et épais comme un sueur condensé qui se amasser dans un poche placer dans le mâle entre son testicule et son membre et dans le femelle entre le nature et le anus .
animal,Les uns veulent que ce soit un animal à quatre piés et en font une espece de loup de chat de fouine ou de civette .,Les uns veulent que ce soit un animal à quatre pieds et en font une espèce de loup de chat de fouine ou de civette ., le un vouloir que ce être un animal à quatre pied et en faire un espèce de loup de chat de fouine ou de civette .
animal,Il est certain que l'hyene n'est point la civette .,Il est certain que l'hyène n'est point la civette ., il être certain que le hyène ne être point le civette .
animal,Bellonius s'est trompé en assurant que l'hyene des anciens étoit la même chose que la civette des modernes .,Bellonius s'est trompé en assurant que l'hyène des anciens était la même chose que la civette des modernes ., Bellonius se être tromper en assurer que le hyène de le ancien être le même chose que le civette de le moderne .
animal,La civette tient beaucoup du chat et l'hyene au contraire est une espece de loup .,La civette tient beaucoup du chat et l'hyène au contraire est une espèce de loup ., le civette tenir beaucoup de le chat et le hyène à le contraire être un espèce de loup .
animal,On ne conçoit pas comment les anciens qui se sont tant étendus sur les propriétés de l'hyene auroient oublié de nous parler de son odeur singuliere si c'eût été la civette .,On ne conçoit pas comment les anciens qui se sont tant étendus sur les propriétés de l'hyène auroient oublié de nous parler de son odeur singuliere si c'eût été la civette ., on ne concevoir pas comment le ancien qui se être tant étendu sur le propriété de le hyène avoir oublier de il parler de son odeur singuliere si ce avoir être le civette .
animal,La civette est un animal fort sauvage .,La civette est un animal fort sauvage ., le civette être un animal fort sauvage .
animal,Odeur très-agréable renfermée dans une maniére de bourse qui est autour des aines de l'animal qu'on apelle civette .,Odeur très-agréable renfermée dans une manière de bourse qui est autour des aines de l'animal qu'on apelle civette ., odeur très-agréable renfermer dans un manière de bourse qui être autour de le aine de le animal que on apeler civette .
animal,L'animal que nous appellons civette est originaire d'Afrique et se nomme kastor dans la Guinée .,L'animal que nous appellons civette est originaire d'Afrique et se nomme kastor dans la Guinée ., le animal que il appeler civette être originaire de Afrique et se nommer kastor dans le Guinée .
animal,Le zibet est vraisemblablement la civette de l'Asie des Indes orientales et de l'Arabie .,Le zibet est vraisemblablement la civette de l'Asie des Indes orientales et de l'Arabie ., le zibet être vraisemblablement le civette de le Asie de le Indes oriental et de le Arabie .
animal,Il differe de la civette en ce qu'il a le corps plus allongé le museau plus délié la queue plus longue et mieux marquée de taches et d'anneaux le poil plus court plus mollet point de criniere sur le cou ni le long de l'épine du dos point de noir au-dessous des yeux ni sur les joues .,Il diffère de la civette en ce qu'il a le corps plus allongé le museau plus délié la queue plus longue et mieux marquée de taches et d'anneaux le poil plus court plus mollet point de crinière sur le cou ni le long de l'épine du dos point de noir au-dessous des yeux ni sur les joues ., il différer de le civette en ce que il avoir le corps plus allonger le museau plus délier le queue plus long et mieux marquer de tache et de anneau le poil plus court plus mollet point de crinière sur le cou ni le long de le épine de le dos 
animal,La civette et le zibet sont deux animaux propre aux climats chauds de l'ancien continent .,La civette et le zibet sont deux animaux propre aux climats chauds de l'ancien continent ., le civette et le zibet être deux animal propre à le climat chaud de le ancien continent .
animal,La civette et le zibet quoiqu'originaires et natifs des climats les plus chauds de l'Afrique et de l'Asie peuvent cependant vivre dans les pays tempérés et même froids pourvu qu'on les défende avec soin des injures de l'aire et qu'on leur donne des alimens succulens et choisis .,La civette et le zibet quoique originaires et natifs des climats les plus chauds de l'Afrique et de l'Asie peuvent cependant vivre dans les pays tempérés et même froids pourvu qu'on les défende avec soin des injures de l'aire et qu'on leur donne des aliments succulents et choisis ., le civette et le zibet quoique originaire et natif de le climat le plus chaud de le Afrique et de le Asie pouvoir cependant vivre dans le pays tempéré et même froid pourvoir que on le défendre avec soin un injure de le aire et que on lui donner un aliment succulent et choisir .
animal,La genette il est vrai a comme la civette et le zibet un sac dans lequel se filtre une espece de parfum .,La genette il est vrai a comme la civette et le zibet un sac dans lequel se filtre une espèce de parfum ., le genette il être vrai avoir comme le civette et le zibet un sac dans lequel se filtre un espèce de parfum .
animal,La civette est un petit animal à peu près fait comme un chat à la réserve que son museau est plus pointu qu'il a les grisses moins dangereuses et crie autrement .,La civette est un petit animal à peu près fait comme un chat à la réserve que son museau est plus pointu qu'il a les grisses moins dangereuses et crie autrement ., le civette être un petit animal à peu près faire comme un chat à le réserve que son museau être plus pointu que il avoir le grisse moins dangereux et crier autrement .
animal,Le suc nouvellement extrait des poches de la civette est onctueux d'une coulour jaune-pâle de la consistance du miel d'une saveur un peu âcre d'une odeur forte .,Le suc nouvellement extrait des poches de la civette est onctueux d'une coulour jaune-pâle de la consistance du miel d'une saveur un peu âcre d'une odeur forte ., le suc nouvellement extraire un poche de le civette être onctueux de un coulour jaune-pâle de le consistance de le miel de un saveur un peu âcre de un odeur fort .
animal,La civette connue aussi par quelques auteurs françois sous le nom de chat musqué ressemble plutôt au renard qu'au chat dont elle a d'ailleurs l'agilité .,La civette connue aussi par quelques auteurs français sous le nom de chat musqué ressemble plutôt au renard qu'au chat dont elle a d'ailleurs l'agilité ., le civette connaître aussi par quelque auteur français sous le nom de chat musqué ressembler plutôt à le renard que à le chat dont il avoir de ailleurs le agilité .
animal,Pour le recueillir on met la civette dans une cage étroite dans laquelle il lui est impossible de se retourner .,Pour le recueillir on met la civette dans une cage étroite dans laquelle il lui est impossible de se retourner ., pour le recueillir on mettre le civette dans un cage étroit dans lequel il lui être impossible de se retourner .
animal,Quelques naturalistes ont compris dans le genre du chien le loup le renard la civette le blaireau la loutre afin de donner une idée des principaux caracteres distinctifs de ces animaux quadrupedes par un objet de comparaison bien connu .,Quelques naturalistes ont compris dans le genre du chien le loup le renard la civette le blaireau la loutre afin de donner une idée des principaux caractères distinctifs de ces animaux quadrupedes par un objet de comparaison bien connu ., quelque naturaliste avoir comprendre dans le genre de le chien le loup le renard le civette le blaireau le loutre afin de donner un idée de le principal caractère distinctif de ce animal quadrupede par un objet de comparaison bien connaître .
animal,L'animal que nous appellons ici civette est originaire d'Afrique et se nomme kastor dans la Guinée .,L'animal que nous appellons ici civette est originaire d'Afrique et se nomme kastor dans la Guinée ., le animal que il appeler ici civette être originaire de Afrique et se nommer kastor dans le Guinée .
animal,Ils ont quelque ressemblance avec la genette qui comme la civette porte une sac dans lequels se filtre une humeur odorante .,Ils ont quelque ressemblance avec la genette qui comme la civette porte une sac dans lequels se filtre une humeur odorante ., il avoir quelque ressemblance avec le genette qui comme le civette porter un sac dans lequel se filtre un humeur odorant .
animal,A l'extérieur la civette mâle ne se peut distinguer de la civette femelle .,A l'extérieur la civette mâle ne se peut distinguer de la civette femelle ., à le extérieur le civette mâle ne se pouvoir distinguer de le civette femelle .
animal,La civette se trouve aussi dans le même pays que l'hyaene elle a comme elle de longs poils le long de dos et une ouverture ou fente particulière .,La civette se trouve aussi dans le même pays que l'hyène elle a comme elle de longs poils le long de dos et une ouverture ou fente particulière ., le civette se trouver aussi dans le même pays que le hyène il avoir comme il un long poil le long de dos et un ouverture ou fente particulier .
animal,la civette ne fouille pas la terre pour en tirer les cadavres .,la civette ne fouille pas la terre pour en tirer les cadavres ., le civette ne fouiller pas le terre pour en tirer le cadavre .
animal,puisqu'il n'est pas même absolument démontré que la civette et le zibet ne soient pas des variétés d'une espèce unique .,puisqu'il n'est pas même absolument démontré que la civette et le zibet ne soient pas des variétés d'une espèce unique ., puisque il ne être pas même absolument démontrer que le civette et le zibet ne être pas un variété de un espèce unique .
animal,Il y a un animal qu'on appelle la genette qui est taché de même qui a la tête à peu près de la même forme et qui porte come la civette un sac dans lequel se filtre une humeur odorante .,Il y a un animal qu'on appelle la genette qui est taché de même qui a la tête à peu près de la même forme et qui porte come la civette un sac dans lequel se filtre une humeur odorante ., il y avoir un animal que on appeler le genette qui être tacher de même qui avoir le tête à peu près de le même forme et qui porter come le civette un sac dans lequel se filtre un humeur odorant .
animal,La civette et le zibet sont donc toutes deux des animaux de l'ancien continent elles n'ont entre elles que les différences extérieures que nous avons indiquées ci-devant .,La civette et le zibet sont donc toutes deux des animaux de l'ancien continent elles n'ont entre elles que les différences extérieures que nous avons indiquées ci-devant ., le civette et le zibet être donc tout deux un animal de le ancien continent il ne avoir entre il que le différence extérieur que il avoir indiquer ci-devant .
animal,La civette a deux dents de plus que le zibet .,La civette a deux dents de plus que le zibet ., le civette avoir deux dent de plus que le zibet .
animal,L'académie a déja donné il y a long-temps une description anatomique de la civette accompagnée de planches et le sac où cet animal porte le parfum qui lui est particulier ne manqua pas d'être décrit avec le rest .,L'académie a déja donné il y a long-temps une description anatomique de la civette accompagnée de planches et le sac où cet animal porte le parfum qui lui est particulier ne manqua pas d'être décrit avec le rest ., le académie avoir déja donner il y avoir long-temps un description anatomique de le civette accompagner de planche et le sac où ce animal porter le parfum qui lui être particulier ne manquer pas de être décrire avec le rest .
animal,Il est vrai que l'on ne connoît pas assés la civette pour sçavoir en quelle occasion elle jette son huile quel usage elle en fait mais enfin on voit bien que le méchanisme est destiné à en empêcher l'écoulement perpétuel .,Il est vrai que l'on ne connait pas assez la civette pour savoir en quelle occasion elle jette son huile quel usage elle en fait mais enfin on voit bien que le méchanisme est destiné à en empêcher l'écoulement perpétuel ., il être vrai que on ne connaître pas assez le civette pour savoir en quel occasion il jeter son huile quel usage il en faire mais enfin on voir bien que le méchanisme être destiner à en empêcher le écoulement perpétuel .
animal,Cette description peut être d'autant plus intéressante pour l'histoire naturelle que la civette n'est pas le seul animal qui ait une poche pour un parfum particulier .,Cette description peut être d'autant plus intéressante pour l'histoire naturelle que la civette n'est pas le seul animal qui ait une poche pour un parfum particulier ., ce description pouvoir être de autant plus intéressant pour le histoire naturel que le civette ne être pas le seul animal qui avoir un poche pour un parfum particulier .
animal,Ces deux poches sont beaucoup plus grosses que les testicules de la civette qui les porte et je suis surpris de voir que quelques auteurs anciens les ayent confondus .,Ces deux poches sont beaucoup plus grosses que les testicules de la civette qui les porte et je suis surpris de voir que quelques auteurs anciens les ayent confondus ., ce deux poche être beaucoup plus gros que le testicule de le civette qui le porter et il être surprendre de voir que quelque auteur ancien le avoir confondre .
animal,Dans la civette que j'ai disséquée chaque poche avoit 2 pouces 3 lignes de hauteur et toutes deux ensemble 2 pouces 2 lignes de diametre .,Dans la civette que j'ai disséquée chaque poche avait 2 pouces 3 lignes de hauteur et toutes deux ensemble 2 pouces 2 lignes de diametre ., dans le civette que il avoir disséquer chaque poche avoir 2 pouce 3 ligne de hauteur et tout deux ensemble 2 pouce 2 ligne de diametre .
animal,La civette ne se trouve qu'en Afrique et plus communément en Ethiopie et au Sénégal où on l'appelle  kankan .,La civette ne se trouve qu'en Afrique et plus communément en Ethiopie et au Sénégal où on l'appelle  kankan ., le civette ne se trouver que en Afrique et plus communément en Ethiopie et à le Sénégal où on le appeler kankan .
animal,La civette forme donc un genre particulier d'animal voisin de la genette ou de la fossane dans la famille que j'appellerai la famille des lions ou des chats .,La civette forme donc un genre particulier d'animal voisin de la genette ou de la fossane dans la famille que j'appellerai la famille des lions ou des chats ., le civette former donc un genre particulier de animal voisin de le genette ou de le fossane dans le famille que il appeler le famille de le lion ou de le chat .
plant,Ce défaut devient plus sensible quand pour préparer du vinaigre de table on y ajoute des plantes aqueuses telles que le cerfeuil la pinprenelle la civette etc .,Ce défaut devient plus sensible quand pour préparer du vinaigre de table on y ajoute des plantes aqueuses telles que le cerfeuil la pinprenelle la civette etc ., ce défaut devenir plus sensible quand pour préparer de le vinaigre de table on y ajouter un plante aqueux tel que le cerfeuil le pinprendler le civette etc .
plant,Prenez fleurs de sureau sèches six onces estragon amorti au soleil huit onces ail trois onces civette quatre onces échalottes quatres onces sommités de baume ou menthe-baume une once girofles un gros et demi .,Prenez fleurs de sureau sèches six onces estragon amorti au soleil huit onces ail trois onces civette quatre onces échalottes quatre onces sommités de baume ou menthe-baume une once girofles un gros et demi ., prendre fleur de sureau sec six once estragon amorti à le soleil huit once ail trois once civette quatre once échalotte quatre once sommiter de baume ou menthe-baume un once girofle un gros et demi .
plant,civette est aussi un petite plante potagere .,civette est aussi un petite plante potagère ., civette être aussi un petit plante potager .
plant,Les herbes fines et odoriférantes des salades outre les autres fournitures sont l'estragon le baume ordinare le baume citronné la civette d'Angleterre ou appétit le coq l'anis le fenouil la petite mélisse ou citronnelle .,Les herbes fines et odoriférantes des salades outre les autres fournitures sont l'estragon le baume ordinare le baume citronné la civette d'Angleterre ou appétit le coq l'anis le fenouil la petite mélisse ou citronnelle ., le herbe fin et odoriférant de le salade outre le autre fourniture être le estragon le baume ordinarer le baume citronner le civette de Angleterre ou appétit le coq le ani le fenouil le petit mélisse ou citronnelle .
plant,La civette forme une touffe composée d'un grand nombre de petites bubles couvertes d'une enveloppe particulière et qui rapprochées les unes des autres sans être réunies sans être circonscrites sous une enveloppe commune ne forment un ensemble que par l'entrelacement des racines données à chacune d'elles .,La civette forme une touffe composée d'un grand nombre de petites bubles couvertes d'une enveloppe particulière et qui rapprochées les unes des autres sans être réunies sans être circonscrites sous une enveloppe commune ne forment un ensemble que par l'entrelacement des racines données à chacune d'elles ., le civette former un touffe composer de un grand nombre de petit buble couvrir de un enveloppe particulier et qui rapprocher le un de le autre sans être réunir sans être circonscrire sous un enveloppe commun ne former un ensemble que par le entrelacement de le racine donner à chacun de il .
