sense,sentence,sentence_mod_orth,sentence_lemmatized
plant,La civette se multiplie si abondamment et se facilement par ses tubercules qu'il est inutile de songer à la propager par ses graines .,La civette se multiplie si abondamment et se facilement par ses tubercules qu'il est inutile de songer à la propager par ses graines ., le civette se multiplier si abondamment et se facilement par son tubercule que il être inutile de songer à le propager par son graine .
plant,On compte trois espèces de cives dont la plus petite se nomme civette .,On compte trois espèces de cives dont la plus petite se nomme civette ., on compter trois espèce de cive dont le plus petit se nommer civette .
plant,C'est ce qu'on apelle aussi cive dont il y a trois espéces la cive de Portugal la grosse cive d'Angleterre et la petite qui est la seule qu'on nomme civette .,C'est ce qu'on apelle aussi cive dont il y a trois espèces la cive de Portugal la grosse cive d'Angleterre et la petite qui est la seule qu'on nomme civette ., ce être ce que on apeler aussi cive dont il y avoir trois espèce le cive de Portugal le gros cive de Angleterre et le petit qui être le seul que on nommer civette .
plant,Les fleurs de la civette manquant très-souvent les multiplication par cayeux a prévalue .,Les fleurs de la civette manquant très-souvent les multiplication par cayeux a prévalue ., le fleur de le civette manquer très-souvent le multiplication par cayeu avoir prévalu .
plant,Au mois de Mars lorsque les premières feuilles commencent à paroître on leve les touffes de civette on sépare les cayeux qui les composent et on les replante en paquets de trois ou quatre seulement que l'on espace de sept à huit pouces .,Au mois de Mars lorsque les premières feuilles commencent à paroître on leve les touffes de civette on sépare les cayeux qui les composent et on les replante en paquets de trois ou quatre seulement que l'on espace de sept à huit pouces ., à le mois de Mars lorsque le premier feuille commencer à paroître on lever le touffe de civette on séparer le cayeu qui le composer et on le replanter en paquet de trois ou quatre seulement que on espace de sept à huit pouce .
plant,Les maraichers cultivent la civette en planches et la plantent par raies distances à-peu-près comme les touffes le sont entr'elles .,Les maraichers cultivent la civette en planches et la plantent par raies distances à-peu-près comme les touffes le sont entr'elles ., le maraicher cultiver le civette en planche et le planter par raie distance à-peu-près comme le touffe le être entr' il .
plant,On doit avoir soin de tondre fréquemment la civette même au-delà de la consommation pour avoir des feuilles nouvelles qui sont plus douces que les anciennes .,On doit avoir soin de tondre fréquemment la civette même au-delà de la consommation pour avoir des feuilles nouvelles qui sont plus douces que les anciennes ., on devoir avoir soin de tondre fréquemment le civette même au-delà de le consommation pour avoir un feuille nouveau qui être plus doux que le ancien .
plant,Ayez une perdrix de bon fumet cuite à la broche dans laquelle vous aurez mis dans le corps deux rocamboles deux échalottes un peu de civette quelques feuiles d'estragon .,Ayez une perdrix de bon fumet cuite à la broche dans laquelle vous aurez mis dans le corps deux rocamboles deux échalottes un peu de civette quelques feuiles d'estragon ., avoir un perdrix de bon fumet cuit à le broche dans lequel il avoir mettre dans le corps deux rocambole deux échalotte un peu de civette quelque feuile de estragon .
plant,Toutes les parties de la plante sont de la même forme et dans la même disposition que celles de la civette mais beaucoup plus grandes .,Toutes les parties de la plante sont de la même forme et dans la même disposition que celles de la civette mais beaucoup plus grandes ., tout le partie de le plante être de le même forme et dans le même disposition que celui de le civette mais beaucoup plus grand .
substance,Mais on me dira peut-être qu'on applique souvent un grain de musc ou de civette sur l'ombilic pour faire abbaisser la matrice et pour calmer les vapeurs .,Mais on me dira peut-être qu'on applique souvent un grain de musc ou de civette sur l'ombilic pour faire abbaisser la matrice et pour calmer les vapeurs ., mais on se dire peut-être que on appliquer souvent un grain de musc ou de civette sur le ombilic pour faire abbaisser le matrice et pour calmer le vapeur .
substance,de plus on ne peut pas dire que cette civette ou ce musc qu'on a ainsi appliqués produisent une bonne odeur .,de plus on ne peut pas dire que cette civette ou ce musc qu'on a ainsi appliqués produisent une bonne odeur ., de plus on ne pouvoir pas dire que ce civette ou ce musc que on avoir ainsi appliquer produire un bon odeur .
substance,Cette opération est une extraction des parties les plus huileuses de l'ambre gris du musc et de la civette faite dans l'esprit-de-vin .,Cette opération est une extraction des parties les plus huileuses de l'ambre gris du musc et de la civette faite dans l'esprit-de-vin ., ce opération être un extraction de le partie le plus huileux de le ambre gris de le musc et de le civette faire dans le esprit-de-vin .
substance,Prenez deux dragmes de bon ambre gris autant de sucre candi demi-dragme de musc et deux grains de civette .,Prenez deux dragmes de bon ambre gris autant de sucre candi demi-dragme de musc et deux grains de civette ., prendre deux dragme de bon ambre gris autant de sucre candi demi-dragme de musc et deux grain de civette .
substance,l'addition du musc et de la civette fait un bon effet .,l'addition du musc et de la civette fait un bon effet ., le addition de le musc et de le civette faire un bon effet .
substance,Le retranchement de ces mêmes ingrédiens dans la préparation dont il s'agit fait encore un meilleur effet car il est beaucoup de personnes de l'un et de l'autre sexe qui ne peuvent point supporter l'odeur du musc ni de la civette et auxquelles ces deux parfums causent une migraine violente ou des mouvemens convulsifs .,Le retranchement de ces mêmes ingrédients dans la préparation dont il s'agit fait encore un meilleur effet car il est beaucoup de personnes de l'un et de l'autre sexe qui ne peuvent point supporter l'odeur du musc ni de la civette et auxquelles ces deux parfums causent une migraine violente ou des mouvements convulsifs ., le retranchement de ce même ingrédient dans le préparation dont il se agir faire encore un meilleur effet car il être beaucoup de personne de le un et de le autre sexe qui ne pouvoir point supporter le odeur de le musc ni de le civette et à lequel ce deux parfum causer un migraine violent ou un mouvement convulsif .
substance,Ceux dont les principes ont fermenté comme ce qu'on appelle improprement testicule de castor l'urine le musc la civette les excrémens de plusieurs animaux sont propre les uns pour l'épilepsie pour l'apoplexie pour la paralysie les autres pour les maladies hystériques parce que leur substance volatile montant au cerveau fortifie l'origine des nerfs .,Ceux dont les principes ont fermenté comme ce qu'on appelle improprement testicule de castor l'urine le musc la civette les excréments de plusieurs animaux sont propre les uns pour l'épilepsie pour l'apoplexie pour la paralysie les autres pour les maladies hystériques parce que leur substance volatile montant au cerveau fortifie l'origine des nerfs ., celui dont le principe avoir fermenter comme ce que on appeler improprement testicule de castor le urine le musc le civette le excrément de plusieurs animal être propre le un pour le épilepsie pour le apoplexie pour le paralysie le autre pour le maladie hystérique parce que son substance volatile monter à le cerveau fortifier le origine de le nerf .
substance,La poche ou le sac où est le parfum qu'on appele civette est au dessous de l'anus .,La poche ou le sac où est le parfum qu'on appele civette est au dessous de l'anus ., le poche ou le sac où être le parfum que on appeler civette être à le dessous de le anus .
substance,La civette lorsqu'elle est nouvelle est blanche elle n'est pas encore en état d'être employée et lorsqu'elle est trop vieille elle est toute brune elle n'est pas bonne non plus .,La civette lorsqu'elle est nouvelle est blanche elle n'est pas encore en état d'être employée et lorsqu'elle est trop vieille elle est toute brune elle n'est pas bonne non plus ., le civette lorsque il être nouveau être blanc il ne être pas encore en état de être employer et lorsque il être trop vieux il être tout brune il ne être pas bon non plus .
substance,Il faut préféer la civette du mâle à celle de la femelle laquelle est souvent mêlée avec l'urine de la bête qui l'altère beaucoup .,Il faut préféer la civette du mâle à celle de la femelle laquelle est souvent mêlée avec l'urine de la bête qui l'altère beaucoup ., il falloir préféer le civette de le mâle à celui de le femelle lequel être souvent mêler avec le urine de le bête qui le altérer beaucoup .
substance,la poche qui renferme la civette est ordinairement placée au dessous de l'anus .,la poche qui renferme la civette est ordinairement placée au dessous de l'anus ., le poche qui renfermer le civette être ordinairement placer à le dessous de le anus .
substance,on en nourrit en Hollande avec du lait et des oeufs afin que la civette qui en sort soit blanche .,on en nourrit en Hollande avec du lait et des oeufs afin que la civette qui en sort soit blanche ., on en nourrir en Hollande avec du lait et un œuf afin que le civette qui en sortir être blanc .
substance,car quand on n'a point pris ces précautions on ne tire que la civette brune qui à la verité a autant d'odeur et de qualité que la blanche mais les marchands n'en auroient pas de débit à cause que les perfumeurs qui l'employent sont accoûtumez à la voir blanche ou jaunâtre .,car quand on n'a point pris ces précautions on ne tire que la civette brune qui à la verité a autant d'odeur et de qualité que la blanche mais les marchands n'en auroient pas de débit à cause que les perfumeurs qui l'employent sont accoutumez à la voir blanche ou jaunâtre ., car quand on ne avoir point prendre ce précaution on ne tirer que le civette brune qui à le verité avoir autant de odeur et de qualité que le blanc mais le marchand ne en avoir pas un débit à cause que le perfumeur qui le employer être accoutumer à le voir blanc ou jaunâtre .
substance,On doit choisir la civette récente de bonne consistance de couleur blanche d'une odeur forte et qui n'est point agreable elle jaunit pui elle brunit en vieillissant .,On doit choisir la civette récente de bonne consistance de couleur blanche d'une odeur forte et qui n'est point agreable elle jaunit pui elle brunit en vieillissant ., on devoir choisir le civette récent de bon consistance de couleur blanc de un odeur fort et qui ne être point agreable il jaunir pui il brunir en vieillir .
substance,La civette contient beaucoup d'huile et du sel volatil .,La civette contient beaucoup d'huile et du sel volatil ., le civette contenir beaucoup de huile et de le sel volatil .
substance,On n'y donne à ces animaux que des jaunes d'oeufs avec du lait et on prétend que c'est cette nourriture qui rend la civette de ce pays-là plus blanche que celle qui vient d'Afrique et des Indes Orientales parce que ces animaux étant nourris de chair comme il arrive quand ils sont libres ou qu'on les tient enfermés dans des cages cette nourriture contribue infiniment à donner à leur sueur une couleur grise qui se change bientôt en brune .,On n'y donne à ces animaux que des jaunes d'oeufs avec du lait et on prétend que c'est cette nourriture qui rend la civette de ce pays-là plus blanche que celle qui vient d'Afrique et des Indes Orientales parce que ces animaux étant nourris de chair comme il arrive quand ils sont libres ou qu'on les tient enfermés dans des cages cette nourriture contribue infiniment à donner à leur sueur une couleur grise qui se change bientôt en brune ., on ne y donner à ce animal que un jaune de œuf avec du lait et on prétendre que ce être ce nourriture qui rendre le civette de ce pays là plus blanc que celui qui venir de Afrique et de le Indes oriental parce que ce animal être nourrir de chair comme il arriver quand il être libre ou que on le tenir enfermer dans un cage ce nourriture contribuer infiniment à donner à son sueur un couleur gris qui se changer bientôt en brune .
substance,On vient de voir que les sacs qui servent à la sécrétion de la matiere odorante que produit la civette font au-dessous de l'anus .,On vient de voir que les sacs qui servent à la sécrétion de la matière odorante que produit la civette font au-dessous de l'anus ., on venir de voir que le sac qui servir à le sécrétion de le matière odorant que produire le civette faire au-dessous de le anus .
substance,Enfin les parfums tels que l'ambre la civette le musc et autres substances semblables excitent des paroxysms violens par une qualité particuliere .,Enfin les parfums tels que l'ambre la civette le musc et autres substances semblables excitent des paroxysms violents par une qualité particuliere ., enfin le parfum tel que le ambre le civette le musc et autre substance semblable exciter un paroxysm violent par un qualité particuliere .
substance,La civette entre dans plusieurs parfums .,La civette entre dans plusieurs parfums ., le civette entrer dans plusieurs parfum .
substance,L'odeur de la civette est trop forte quand elle est toute seule .,L'odeur de la civette est trop forte quand elle est toute seule ., le odeur de le civette être trop fort quand il être tout seul .
substance,La plupart des Naturalistes dit-il ont cru qu'il n'y avoit qu'une espece d'animal qui fournit le parfum qu'on appelle civette .,La plupart des Naturalistes dit-il ont cru qu'il n'y avait qu'une espèce d'animal qui fournit le parfum qu'on appelle civette ., le plupart de le naturaliste dire il avoir cru que il ne y avoir que un espèce de animal qui fournir le parfum que on appeler civette .
substance,Il faut choisir la civette nouvelle d'un bonne consistence c'est-à-dire ni trop dure ni trop molle d'une couleur blanche et d'une odeur forte et assez désagréable .,Il faut choisir la civette nouvelle d'un bonne consistence c'est-à-dire ni trop dure ni trop molle d'une couleur blanche et d'une odeur forte et assez désagréable ., il falloir choisir le civette nouveau de un bon consistence c'est-à-dire ni trop dur ni trop mou de un couleur blanc et de un odeur fort et assez désagréable .
substance,La civette de cette ville ayant la préférence sur-tout celle qui vient du Levant et des Indes elle se vend à l'once qui coute ordinairement depuis 28 jusqu'à 30 florins .,La civette de cette ville ayant la préférence surtout celle qui vient du Levant et des Indes elle se vend à l'once qui coute ordinairement depuis 28 jusqu'à 30 florins ., le civette de ce ville avoir le préférence surtout celui qui venir de le levant et de le Indes il se vendre à le once qui couter ordinairement depuis 28 jusque à 30 florin .
substance,mais leur forte odeur de musc d'ambre et de civette que l'on ne pouvoit sourtenir sans incommodité a fait que la mode et l'usage s'en sont presque perdus .,mais leur forte odeur de musc d'ambre et de civette que l'on ne pouvoit sourtenir sans incommodité a fait que la mode et l'usage s'en sont presque perdus ., mais son fort odeur de musc de ambre et de civette que on ne pouvoir sourtenir sans incommodité avoir faire que le mode et le usage se en être presque perdre .
substance,Comme parfumeurs ils peuvent appliquer sur les gants et débiter touts sortes de parfums tels que sont le musc l'ambre-gris la civette et toutes autres sortes d'odeurs .,Comme parfumeurs ils peuvent appliquer sur les gants et débiter touts sortes de parfums tels que sont le musc l'ambre gris la civette et toutes autres sortes d'odeurs ., comme parfumeur il pouvoir appliquer sur le gant et débiter tout sorte de parfum tel que être le musc le ambre gris le civette et tout autre sorte de odeur .
substance,La civette conservée s'épaissit et prend une couleur plus foncée .,La civette conservée s'épaissit et prend une couleur plus foncée ., le civette conserver se épaissir et prendre un couleur plus foncé .
substance,Suivant Carthenser il n'y a presque point de différence entre le musc et la civette .,Suivant Carthenser il n'y a presque point de différence entre le musc et la civette ., suivant Carthenser il ne y avoir presque point de différence entre le musc et le civette .
substance,On ne prescrit jamais actuellement la civette en médecine quoiqu'on l'ait employée autrefois comme corroborante cordiale sudorifique antispasmodique .,On ne prescrit jamais actuellement la civette en médecine quoiqu'on l'ait employée autrefois comme corroborante cordiale sudorifique antispasmodique ., on ne prescrire jamais actuellement le civette en médecine quoique on le avoir employer autrefois comme corroborante cordial sudorifique antispasmodique .
substance,Aujourd'hui la civette est encore conseillée dans quelques compositions pharmaceutiques .,Aujourd'hui la civette est encore conseillée dans quelques compositions pharmaceutiques ., aujourd'hui le civette être encore conseiller dans quelque composition pharmaceutique .
substance,aussi la civette du mâle a une odeur plus forte et plus agréable que celle de la femelle .,aussi la civette du mâle a une odeur plus forte et plus agréable que celle de la femelle ., aussi le civette de le mâle avoir un odeur plus fort et plus agréable que celui de le femelle .
substance,La civette faite à Amsterdam est préférée par les commerçans à celle qui vient du Levant ou des Indes qui est ordinairement moins pure .,La civette faite à Amsterdam est préférée par les commerçans à celle qui vient du Levant ou des Indes qui est ordinairement moins pure ., le civette faire à Amsterdam être préféré par le commerçans à celui qui venir de le levant ou de le Indes qui être ordinairement moins pur .
substance,Les parfumerus et les  confiseurs emploient la civette dans le mélange de leurs aromats .,Les parfumerus et les  confiseurs emploient la civette dans le mélange de leurs aromats ., le parfumerus et le confiseur employer le civette dans le mélange de son aromat .
substance,On fait aussi avec la civette le musc et l'ambregris incoporés avec une huile par expression un onguent dont on frotte les aines et les lombes pour exciter l'acte vénérien .,On fait aussi avec la civette le musc et l'ambre gris incoporés avec une huile par expression un onguent dont on frotte les aines et les lombes pour exciter l'acte vénérien ., on faire aussi avec le civette le musc et le ambre gris incoporer avec un huile par expression un onguent dont on frotter le aine et le lombe pour exciter le acte vénérien .
substance,La pluspart des naturalistes ont cru qu'il n'y avoit qu'une espèce d'animal qui fournît le perfum qu'on appelle la civette .,La pluspart des naturalistes ont cru qu'il n'y avait qu'une espèce d'animal qui fournit le perfum qu'on appelle la civette ., le pluspart de le naturaliste avoir cru que il ne y avoir que un espèce de animal qui fournir le perfum que on appeler le civette .
substance,l'odeur de la civette quoique violente est plus suave que celle du musc .,l'odeur de la civette quoique violente est plus suave que celle du musc ., le odeur de le civette quoique violent être plus suave que celui de le musc .
substance,Il faut joindre à une once de gomme adragant détrempée dans l'eau de rose deux onces d'huile de ben au jasmin et un demi-gros de civette .,Il faut joindre à une once de gomme adragant détrempée dans l'eau de rose deux onces d'huile de ben au jasmin et un demi-gros de civette ., il falloir joindre à un once de gomme adrager détremper dans le eau de rose deux once de huile de ben à le jasmin et un demi-gro de civette .
substance,A la gomme dont vous prétendez faire usage ajoutez deux gros de musc et un demi-gros de civette .,A la gomme dont vous prétendez faire usage ajoutez deux gros de musc et un demi-gros de civette ., à le gomme dont il prétendre faire usage ajouter deux gros de musc et un demi-gro de civette .
substance,Si pour charger vos éventails vous vous servez de compositions dans lesquelles il entre plus de civette que d'autre parfums vous ferez usage des fleurs .,Si pour charger vos éventails vous vous servez de compositions dans lesquelles il entre plus de civette que d'autre parfums vous ferez usage des fleurs ., si pour charger son éventail il il servir de composition dans lequel il entrer plus de civette que de autre parfum il faire usage un fleur .
substance,La civette est une substance onctueuse pâle-jaunâtre de la consistance de miel ou de beurre d'une saveur un peu âcre d'une odeur balsamique très-pénétrante .,La civette est une substance onctueuse pâle-jaunâtre de la consistance de miel ou de beurre d'une saveur un peu âcre d'une odeur balsamique très-pénétrante ., le civette être un substance onctueux pâle-jaunâtre de le consistance de miel ou de beurre de un saveur un peu âcre de un odeur balsamique très-pénétrant .
substance,Nous devons néanmoins observer qu'on préfére alors le musc à la civette et qu'on s'en sert plus fréquemment pour parfumer .,Nous devons néanmoins observer qu'on préfére alors le musc à la civette et qu'on s'en sert plus fréquemment pour parfumer ., il devoir néanmoins observer que on préférer alors le musc à le civette et que on se en servir plus fréquemment pour parfumer .
substance,Au lieu de tirer de l'huile il faut faire une teinture de cannelle qui approchera fort de la quintessence huileuse en la faisant aux esprits rectifiés comme celle de l'ambre du musc et de la civette .,Au lieu de tirer de l'huile il faut faire une teinture de cannelle qui approchera fort de la quintessence huileuse en la faisant aux esprits rectifiés comme celle de l'ambre du musc et de la civette ., à le lieu de tirer de le huile il falloir faire un teinture de cannelle qui approcher fort de le quintessence huileux en le faire à le esprit rectifier comme celui de le ambre de le musc et de le civette .
substance,Comme les odeurs font partie de la distillation et que nous tâchons d'être utile à tous égards et à autant de personnes que nous pourrons nous allons traiter en bref des esprits d'odeurs et comme l'ambre le musc et la civette ont été de tous tems l'ame des odeurs .,Comme les odeurs font partie de la distillation et que nous tâchons d'être utile à tous égards et à autant de personnes que nous pourrons nous allons traiter en bref des esprits d'odeurs et comme l'ambre le musc et la civette ont été de tous temps l'ame des odeurs ., comme le odeur faire partie de le distillation et que il tâcher de être utile à tout égard et à autant de personne que il pouvoir il aller traiter en bref un esprit de odeur et comme le ambre le musc et le civette avoir être de tout temps le ame de le odeur .
substance,Avant d'expliquer ces trois sortes de quintessences il faut dire ce que c'est que le musc et la civette .,Avant d'expliquer ces trois sortes de quintessences il faut dire ce que c'est que le musc et la civette ., avant de expliquer ce trois sorte de quintessence il falloir dire ce que ce être que le musc et le civette .
substance,La civette est une liqueur épaisse et odoriférante qu'on tire d'un animal qui porte le même nom .,La civette est une liqueur épaisse et odoriférante qu'on tire d'un animal qui porte le même nom ., le civette être un liqueur épais et odoriférant que on tirer de un animal qui porter le même nom .
substance,Si vous ne faites qu'à la civette ou au musc vous ne mettrez qu'une de ces matieres dans ladite phiole ou bouteille mais toujours avec de l'esprit-de-vin rectifié .,Si vous ne faites qu'à la civette ou au musc vous ne mettrez qu'une de ces matières dans ladite phiole ou bouteille mais toujours avec de l'esprit-de-vin rectifié ., si il ne faire que à le civette ou à le musc il ne mettre que un de ce matière dans ledit phiole ou bouteille mais toujours avec de le esprit-de-vin rectifier .
substance,Pour faire cette eau d'odeur on emploie la quintessence d'ambre gris la plus pure et la meilleure qu'il est possible sans mélange de musc et de civette .,Pour faire cette eau d'odeur on emploie la quintessence d'ambre gris la plus pure et la meilleure qu'il est possible sans mélange de musc et de civette ., pour faire ce eau de odeur on employer le quintessence de ambre gris le plus pur et le meilleur que il être possible sans mélange de musc et de civette .
substance,Les hommes aussi bien que les femmes s'oignent au moins une fois par jour avec de la graisse de chameau mêlée avec de la civette .,Les hommes aussi bien que les femmes s'oignent au moins une fois par jour avec de la graisse de chameau mêlée avec de la civette ., le homme aussi bien que le femme se oigner à le moins un fois par jour avec de le graisse de chameau mêler avec de le civette .
