sentence,sense,modified_noun,dep_parse,date,decade,location,region
l'huître commune qui se colle aux rochers et d'une forme si baroque qu'on ne peut l'ouvrir qu'à coups de marteau .,form,forme,amod,1788,1770,Amsterdam,Netherlands
le choix du diamant se doit faire selon ces règles il doit être uni de bonne forme sans être baroque ni plein des glaces transparent et qu'il ne soit pas d'un blanc cristallin .,form,na,-,1741,1740,Amsterdam,Netherlands
elles vont toujours en s'élévant de plus en plus et à l'endroit le plus élevé de la chaîne elle est coupée de vallées profondes bordé d'escarpemens dont il s'éleve des sommités de rochers singulièrement déchiquetés dont la forme baroque est occassionée par la décomposition du granit ou pierre de roche dont toutes ces montagnes et la majeure partie de celles de la daurie sont composées .,form,forme,amod,1787,1780,Berne,Switzerland
c'est aussi un bivalve mais plus baroque qu'aucun que j'aie vu par la grande inégalité des saillies de ses deux valves qui s'élèvent l'une et l'autre vers la charnière comme deux cornes et forment la plus grand partie du coquillage dont l'épaisseur est très grande comparativement à sa cavité .,form,na,-,1780,1780,Hague,Netherlands
dans les bivalves sont l'huître commune qui se colle aux rochers et d'une forme si baroque qu'on ne peut l'ouvrir qu'à coups de marteau .,form,forme,amod,1773,1770,Neuchatel,Switzerland
c'est aussi un bivalve mais plus baroque qu'aucun que j'aie vu par la grande inégalité des saillies de ses deux valves qui s'élèvent l'une et l'autre vers la charnière comme deux cornes et forment la plus grand partie du coquillage dont l'épaisseur est très grande comparativement à sa cavité .,form,na,-,1780,1780,Paris,France
ses fruits son triangulaires bruns ridés de forme baroque d'un bon pouce de diamètre et d'environ deux pouces de longeur .,form,forme,amod,1767,1760,Paris,France
cette espèce dont la figure est singulière et extrêmement baroque représente assez bien un t dans sa forme pliée  peut avoir jusqu' à plus de cinq pouces de longueur .,form,figure,-,1775,1770,Paris,France
l'ouverture est singulière ou baroque avec un plan extérieur aplati étroite allongée sinueuse et fermée en partie par plusieurs apophyses blanches et dentelées qui se trouvent au-dedans de la lèvre ainsi que par les denticules de la columelle extérieure .,form,ouverture,-,1775,1770,Paris,France
coquille univalve du genre des buccins à canal court et retoussé ainsi appellée à cause de sa forme baroque et de travers qui regne dans toutes ses parties .,form,forme,amod,1775,1770,Paris,France
les unes ont une lèvre épaisse avec une clavicule garnie de quelque tubercules tandis que les autres ont une lèvre mince avec une volute simplement baroque dépourvue de tubercules .,form,volute,amod,1775,1770,Paris,France
la figure de ce limaçon conique ou sabot est baroque par ses spires rentrantes et comme martelées .,form,figure,nsubj,1775,1770,Paris,France
une grande huître extrêmement baroque et presque noire en dehors et en dedans .,form,huître,amod,1736,1730,Paris,France
nous devons même voir la raison pour laquelle la larve fait souvent entrer dans la composition de son fourreau des pièces qui gâtent la symétrie des autres et qui lui donnent une forme désagréable et tout-à-fait baroque .,form,forme,-,1737,1730,Paris,France
ses fruits sont de la grosseur d'un oeuf et quelque fois deux et trois fois plus gros d'une forme baroque garnis de pointes et de noeuds dans leur circonférence de couleur blanche en dedans et rougeâtre en dehors .,form,forme,amod,1749,1740,Paris,France
un madréporte fort singulier et plat de forme ronde d'un pied un pouce de diamètre et feuilles fort minces espèce de cerveaux marins astroïtes dont le dessous est d'une forme baroque où il y a une coquille d'une huître épineuse fond rouge et une petite datte .,form,forme,amod,1756,1750,Paris,France
la forme que plusieurs de ces teignes donnent à leur fourreau est tout-à-fait baroque dit m de réaumur .,form,forme,nsubj,1759,1750,Paris,France
la caillou du rhin que l'on trouve aujourd'hui dans le lit de ce fleuve n'est autre chose qu'un canon de crystal de roche qui s'est détaché du rocher et qui à force de rouler parmi les autres pierres qui sont dans le rhin a usé les vives arrêtes de ses faces et est devenu par le laps du temps comme un cabochon d'une rondeur baroque .,form,rondeur,amod,1762,1760,Paris,France
on détache cette nacre et on la travaille sur le tour pour lui donner la forme ronde ovale ou baroque ou la figure de poire suivant les perles qu'on veut imiter .,form,forme,-,1766,1760,Paris,France
les graines sont plates de forme très baroque cendrées et ont un bon goût de pois .,form,forme,amod,1767,1760,Paris,France
elles sont branchues et d'une forme baroque la plupart d'un blanc jaunâtre et quelques unes bleues en dedans et toues couvertes d'une écorce blanchâtre plus ou moins épaisse enclavées les unes dans les autres .,form,forme,amod,1768,1760,Paris,France
on aura autant de petit cailloux compacts bien propres et d'une forme baroque qu'on a de pessaires à couvrir et dont le poids doit excéder un peu celui de chaque morceau de liége .,form,forme,amod,1770,1770,Paris,France
celles qui font effervescence aux acides sont crétacées communément de couleur ou grise ou bleuâtre et de forme baroque .,form,forme,amod,1774,1770,Paris,France
cette vis est d'une forme peu régulière et même baroque composée de neuf ou dix spires couronnées en partie de tubercules aigus principalement vers le milieur de la coquille .,form,forme,-,1775,1770,Paris,France
coquille univalve du genre des buccins de l'espèce triangulaire ainsi appellée à cause de sa forme baroque .,form,forme,amod,1775,1770,Paris,France
la coquille des pourpres a tantôt dans son ensemble une forme triangulaire tantôt une figure arrondie ou baroque .,form,figure,-,1775,1770,Paris,France
celle ci est d'une figure baroque dans toutes ses parties garnie de six côtes longitudinales chargées plus ou moins de feuillages irréguliers déchiquetés de couleur brune et enfumée aplatis et obtus principalement à la rangée qui borde la lèvre et où ces feuillages se prolongent en forme de pattes de crapaud .,form,figure,amod,1775,1770,Paris,France
cette petite espèce est d'une figure baroque principalement dans ses spires qui sont compliquées de diverses cavités et sinuosités .,form,figure,amod,1775,1770,Paris,France
ils sont arrondis obtus un peu aigus ou aplatis allongés ou de forme baroque .,form,forme,amod,1775,1770,Paris,France
une sardoine de forme baroque parsemée de petits yeux de sardonyx dont les zones sont d'un blanc mat et les prunelles marron .,form,forme,amod,1780,1780,Paris,France
la grande moule bleue et celle appelée la tulipe et plusieurs petites moules striées de forme baroque .,form,forme,amod,1780,1780,Paris,France
quand la pierre n'est point susceptible d'une belle forme ils la laissent ou ronde ou ovale ou baroque et la creusent par dessous pour y ménager quelque diversité des faces qui fassent jouer la lumière en différents sens .,form,na,-,1764,1760,Paris,France
elle vit que les habitans étaient dans des contestations perpétuelles un même esprit d'une chicanne peu différente les animoit dans leurs querelles et un langage également baroque servoit à les exprimer celles du païs ou l'on entroit en mauvais latin et celles du climat que l'on quittoit en un jargon qui tenoit de l'ancien roman qui n'était ni français ni latin .,other,langage,amod,1741,1740,Amsterdam,Netherlands
de là il tombe à corps perdu comme du troisième ciel sur son prêche qui n'est qu'une course baroque par monts et par vaux .,other,course,amod,1750,1750,Amsterdam,Netherlands
s'ils vouloient dénaturer leur chant ils le rendroient dur baroque et presque inchantable .,other,chant,-,1760,1760,Amsterdam,Netherlands
principes sont assez judicieux et al versification heureuses par intervalles à un poème intitulé mon odyssée qu'on croiroit avoir été fait pour des lecteurs tudesques tant le style en est dur et baroque et tant les rimes en sont bizarres .,other,style,-,1773,1770,Amsterdam,Netherlands
termes prétieux que l'on ne prononce point sans pincer les lèvres assortiments monstrueux des grotesques de la néologie et le comportement baroque le métalent ridicule la bouffissure éfarée du jargon à la mode .,other,comportement,amod,1737,1730,Amsterdam,Netherlands
il donne avec beaucoup de raison pour département à la musique baroque les spectacles et les concerts où elle ne peut être ni plus significative ni plus scandaleuse qu'une grêle de coups qu'on feroit tomber sur un coffre .,other,musique,amod,1748,1740,Amsterdam,Netherlands
il donne pour département de la musique baroque les théâtres et concerts pour n'y amuse que par du bruit sans s'embarrasser de rien exprimer .,other,musique,amod,1748,1740,Amsterdam,Netherlands
notre auteur appelle cette musique baroque il donne à l'autre le nom de chantante .,other,musique,amod,1748,1740,Amsterdam,Netherlands
pour étendre les leurs sur un acte équivoque ou sur un vieux titre baroque dont le chiffre effacé rend le temps incertain je pense toutefois qu'il vaut mieux se deffendre .,other,titre,amod,1746,1740,Amsterdam,Netherlands
la phrase en elle même est baroque .,other,phrase,nsubj,1753,1750,Amsterdam,Netherlands
d'où l'on pouroit conclure qu'il auroit trompé ce prince qu'il se seroit moqué de lui en lui faisant présent d'un copie aussi baroque aussi informe .,other,copie,amod,1753,1750,Amsterdam,Netherlands
ensuite ronsard avec son même langage baroque décrit comment la sience poétique passa de l'orient en occident et parvint en angleterre .,other,langage,amod,1753,1750,Amsterdam,Netherlands
la composition était négligée baroque même française .,other,composition,-,1756,1750,Amsterdam,Netherlands
l'auteur orthographie d'une manière baroque .,other,manière,amod,1799,1750,Amsterdam,Netherlands
il seroit plus en état qu'un autre de remplacer par là le défaut de talent et de génie si cet esprit était moins baroque et qu'il fut accompagné de plus de goût .,other,esprit,nsubj,1763,1760,Amsterdam,Netherlands
ce qui a paru de lui dans le public se réduit à des odes au-dessous de médiocre à une saytre sur le goût dont les principes sont assez judicieux et al versification heureuses par intervalles à un poème intitulé mon odyssée qu'on croiroit avoir été fait pour des lecteurs tudesques tant le style en est dur et baroque tant les rimes en sont bizarres .,other,style,-,1763,1760,Amsterdam,Netherlands
vu le jeu baroque et maussade de la troupe de lelio chétif et pityoable écho de collège et de parade .,other,jeu,amod,1748,1740,Amsterdam,Netherlands
je ne veux parler ici et dans tout le reste de ma letter que de cette réforme subite et totale qui en voulant ramener tout-à-coup l'orthograph à la prononciation feroit de notre langue une langue barbare inintelligible aux yeux et indéchiffrable de ce néographisme baroque tel qu'il a été proposé autrefois par ramus et après lui par pelletier maigret l'abbé de saint-pierre de launay et quelques autres tel enfin que semblent le proposer les auteurs du vocabulaire .,other,néographisme,amod,1768,1760,Amsterdam,Netherlands
loin de nous toute musique efféminée baroque bruyante ou qui ne peint rien .,other,musique,-,1771,1770,Amsterdam,Netherlands
tous enfin se monterent sur un ton si haut si baroque et si fou qu'ils formerent le choeur le plus extraordinaire le plus bruyant et el plus ridicule qu'on eût entendu devant et depuis celui des .,other,ton,-,1772,1770,Amsterdam,Netherlands
sans aucune apparence de prétention le poète sait plaire et ses leçons n'ont rien de cette philosophie fade et baroque qui ose se montrer dans les opéra comiques et qui finira par en dégoûter le public .,other,philosophie,-,1763,1760,Amsterdam,Netherlands
quelques artistes se sont élevés contre ce genre baroque mais la multitude ignorante a conservé ses préjugés et suivi le torrent .,other,genre,amod,1774,1770,Amsterdam,Netherlands
nous ne dissimulerons pas qu'il seroit plus en état qu'aucun autre de remplacer par là le défaut de poésie et de versification si cet esprit était moins baroque et dirigé par un goût plus sur et plus exercé .,other,esprit,nsubj,1774,1770,Amsterdam,Netherlands
mais quel arrangement baroque dans ces expressions .,other,arrangement,amod,1774,1770,Amsterdam,Netherlands
n'y a-t-il pas aussi un peu d'âcreté dans ce que vous dites de m le miere dont vous blâmez l'esprit baroque et le peu de goût .,other,esprit,amod,1774,1770,Amsterdam,Netherlands
détone à tort à travers prend de la dame en colère le ton baroque et les airs .,other,ton,amod,1776,1770,Amsterdam,Netherlands
non seulement on est fatigué au bout de trois pages de leur tournure bizarre et de leur jargon baroque mais ce qu'il y a de pis c'est qu'on y trouve très peu d'esprit et pas une idée sur l'art .,other,jargon,amod,1776,1770,Amsterdam,Netherlands
au milieu de cette foule de grands hommes qui croiroit que la nobile direzzione de milan se soit adressée à un allemand à un barbare au chevalier gluck enfin qui selon plusieurs connaisseurs de café n'a ni chant ni mélodie n'a qu'une harmonie baroque et criarde un style tudesque usé raboteux qui n'a aucune réputation en italie et n'y a eu aucun succès .,other,harmonie,amod,1778,1770,Amsterdam,Netherlands
le vers non si je ne puis t'attendrir est surtout rendu d'une manière baroque et ridicule .,other,manière,amod,1779,1770,Amsterdam,Netherlands
il faudroit avoir l'esprit bien baroque pour soutenir que l'électeur palatin se soit laissé subjuguer par une crainte ou surprendre par les manéges du cabinet de vienne .,other,esprit,amod,1780,1780,Amsterdam,Netherlands
on entendoit quelques pétards puis on se promenoit dans une vaste solitude sous des galeries mal peintes au son d'une musique baroque .,other,musique,amod,1783,1780,Amsterdam,Netherlands
je veux pourtant chanter de ma voix rauque ce valory ce fameux champion qui par l'effet de son destin baroque des prussiens fut le palladion .,other,destin,amod,1788,1780,Amsterdam,Netherlands
christine trouvant son nom baroque le nomma struzzo .,other,nom,amod,1760,1760,Amsterdam,Netherlands
le mérite est toujours baroque .,other,mérite,nsubj,1708,1700,Amsterdam,Netherlands
le mot allemand est erd-apfel ou erd oepfel ce qui a produit le nom baroque de artoffel .,other,nom,amod,1777,1770,Amsterdam,Netherlands
le docteur se mettroit peut-être de mauvais humeur et se fâcheroit si l' on vouloit s'égayer et rire de son idée baroque .,other,idée,amod,1774,1770,Besançon,France
néanmoins il entre ce peu de caractéres il s'en trouve seulement un de chaque côté qu'elle puisse unir c'en est fait elle les allie et en forme une idée baroque qui pourra lui representer un livre soit même son existence à rome et pourtant à paris et cetera .,other,idée,amod,1755,1750,Berlin,Germany
c'est à toi seul que je la dois brutal durpetri dont la voix baroque et barbare a servi d'organe à la nature .,other,voix,amod,1765,1760,Berlin,Germany
le croirais tu imirce que cette bête malgré son ineptie et sa voix baroque ait la fureur de censurer la voix harmonieuse des cygnes et le chante délicat des jeunes oiseaux .,other,voix,amod,1765,1760,Berlin,Germany
la philosophie du dogme et des controverses y introduit un langage baroque et néologue qui acheva leur ruine .,other,langage,amod,1780,1780,Berlin,Germany
envoyez moi donc je vous prie l'énumération de vos infirmités et de vos misères en termes barbares et en langage baroque et cela avec toute l'exactitude possible .,other,langage,amod,1788,1780,Berlin,Germany
je sais qu'à force de peine et de travail on peut se faire à toutes ces bizarreries et se familiariser encore avec ce style baroque après s'être familiarisé avec les irrégularités affectées à la langue .,other,style,amod,1787,1780,Berlin,Germany
sort des rois sort des humains quel destin bizarre et baroque me fourra parmi ces vauriens .,other,destin,-,1788,1780,Berlin,Germany
je lui fis la révérence et lui dis que j'étais fort sa servante et qu'il fallait aller chez mon maître sur quoi conversation m'a poursuivie en un jargon baroque jusqu'à ce qu'il me perdit de vue .,other,jargon,amod,1788,1780,Berlin,Germany
je veux pourtant chanter de ma voix rauque ce valory ce fameux champion qui par l'effet de son destin baroque des prussiens fut le palladion et pour lequel se fit mainte blessure quand les housards fins et rusés matois de l'enveler essayant l'aventure autour du camp venaient en tapinois .,other,destin,amod,1789,1780,Berlin,Germany
cependant ce n'est ici que de la théologie baroque .,other,théologie,amod,1788,1780,Berlin,Germany
un milord au nom baroque à l'esprit aimable m'a rendu une lettre de votre part .,other,nom,amod,1788,1780,Berlin,Germany
quelques-uns composés de deux prépositions ou adverbes allemands seroient un sens bien baroque en les séparant .,other,sens,amod,1799,1790,Berlin,Germany
l'absolution conférée par un prêtre sans approbation de l'évêque est invalide et de nul effet c'est l'inductin la plus baroque et la plus absurde qu'on puisse imaginer n'ayant aucune liason avec le principe établi d'où on l'infére .,other,inductin,amod,1774,1770,Berne,Switzerland
je ne sais s'il fut jamais raisonnement plus baroque et moins probant .,other,raisonnement,amod,1778,1770,Berne,Switzerland
on s'embarrasse très peu que le pièce soit bonne ou mauvaise pourvû qu'en sortant du spectacle et en pirouettant sur un talon rouge on puisse frédonner quelques mesures d'un air bien baroque qui n'ait pas la moindre analogie avec les paroles .,other,air,amod,1768,1760,Bouillon,Belgium
et je protette à la face de la nation qu'aucun de nous n'en porta jamais de cette couleur ni n'eut même l'idée baroque d'en porter .,other,idée,amod,1789,1780,Bouillon,Belgium
est un vers obscur et recherché vieillir de leur antiquité est une tournure baroque qui approche de la barberie .,other,tournure,amod,1778,1770,Brussels,Belgium
c'est titre le plus singulier le plus baroque le plus étrange enfin qui soit peut-être parmi toutes les pièces connues .,other,titre,-,1790,1790,Brussels,Belgium
le moindre plat c'est lui qui l'intitule d'un nom baroque et très mal assorti .,other,nom,amod,1750,1750,Donjon du Chateau,France
leur disoit-elle nous nous acommoderons je ménagerai une transactions entre la musique baroque et la musique .,other,musique,amod,1747,1740,Florence,Italy
la préface courte burlesque et bouffonne qui se trouve à la tête annonce une tournure d'esprit singulière et baroque .,other,esprit,-,1776,1770,Florence,Italy
nous nous sommes souvent donné de la peine pour apprendre la cause de cet usage baroque .,other,usage,amod,1790,1790,Frankfurt,Germany
et l'enroué ne chantera t il ses louanges que d'une voix discordante et baroque .,other,voix,-,1767,1760,Geneva,Switzerland
les seconds que cela choque disent que gluck est baroque .,other,Gluck,nsubj,1780,1780,Geneva,Switzerland
manière baroque et à laquelle on se fait très difficilement .,other,manière,amod,1783,1780,Geneva,Switzerland
ils passent deux heures à composer un manuscrit qu'il écrivent d'une manière baroque .,other,manière,amod,1769,1760,Geneva,Switzerland
la beauté sans manière offre un éclat baroque et l'esprit sans jargon est d'un bourgeois qui choque .,other,éclat,amod,1737,1730,Hague,Netherlands
naïveté suit ce style baroque .,other,style,amod,1742,1740,Hague,Netherlands
une musique légère et baroque élève l'âme jusqu' aux cieux par une sainte gigue .,other,musique,-,1742,1740,Hague,Netherlands
on appelle un homme de goût un homme qui sait les vaudevilles du temps et qui les a de la première main qui fait quelquefois une parodie sur un air baroque que la protection d'une femme a mis à la mode .,other,air,amod,1746,1740,Hague,Netherlands
après cet argument baroque chacun opine de la toque .,other,argument,amod,1746,1740,Hague,Netherlands
quelque censeur baroque qui demande du goût de la précision et de la vrai semblance par tout trouvera peut-être cette exhortation beaucoup trop longue pour un mourant .,other,censeur,amod,1750,1750,Hague,Netherlands
je défie tout écolier de logique de déraisonner dans ses essais de syllogisme d'une manière plus baroque .,other,manière,amod,1756,1750,Hague,Netherlands
toujours dans le plaisir je vis dans ma bicoque je n'y reçois jamais aucun esprit baroque .,other,esprit,amod,1764,1760,Hague,Netherlands
on s'est lassé de se promener en long et en large ou plutôt d'être coudoyé en tout sens dans un salon et sous des galeries mal peintes au son d'une musique baroque .,other,musique,amod,1771,1770,Hague,Netherlands
cela sera français selon vous et vous ferez un vers baroque .,other,vers,amod,1774,1770,Hague,Netherlands
dites vous monsieur de ce conte baroque .,other,conte,amod,1785,1780,Hague,Netherlands
mais voyant ensuite comme moi que cette hypothèse ne pouvoit satisfaire qu'à quelques cas particuliers il en vient à l'explication la plus baroque .,other,explication,amod,1780,1780,Hague,Netherlands
on déclare ma muse hérétique et baroque .,other,muse,-,1761,1760,Hamburg,Germany
cependant l'habile anti-locke condamnoit cette ame à la mort pour l'âme n'ayant point de port ne sçachant où fourrer ce souffle si baroque il le détruisoit doucement ainsi qu'un foible son tiré d'un instrument .,other,souffle,amod,1761,1760,Hamburg,Germany
cette idée baroque fait faire une action dangereuse à ceux qui en sont imbus .,other,idée,amod,1761,1760,Lausanne,Switzerland
votre rameau il est sec il est sauvage il n'a jamais su arranger un partition il n'a jamais de chant son harmonie est si baroque si revêche .,other,harmonie,nsubj,1774,1770,Lausanne,Switzerland
les noms classiques d'amaryllis de silvie de mirthille frappent d'étonnement dans la foule baroque de plantes obscures et sans propriétés comme hemerocalle macre arroche .,other,foule,amod,1795,1790,Lausanne,Switzerland
christine trouvant son nom baroque le nomma struzzo .,other,nom,amod,1760,1760,Leipzig,Germany
ses autres ouvrages ont été admirés des uns comme ayant la noble simplicité de l'antique et critiqués des autres comme portant les traits d'une imagination baroque et contraire au bon goût .,other,imagination,amod,1793,1790,Liege,Belgium
retournez chez vos compatriotes et leur faites entendre votre musique baroque qui n'a ni sens ni raison .,other,musique,amod,1789,1780,Liege,Belgium
ils passent deux heures à composer un manuscrit qu'il écrivent d'une manière baroque .,other,manière,amod,1769,1760,London,London
le procès de m le comte de guines a effetivement été jugé avant hier au châtelet d'une façon très baroque .,other,façon,amod,1777,1770,London,London
le titre seul du coup d'oeil purin fort étendu en donne l'explication et sert comme de commentaire à ce mot baroque .,other,mot,amod,1777,1770,London,London
si je ne m'y rends pas traitez moi d'esprit baroque de mauvais raisonneur .,other,esprit,amod,1784,1780,London,London
je suis persuadé qu'il n'y eut tout au plus que quelques vieilles qui trouverent bonne cette consequence et que toutes les jeunes au contraire auroient souhaité de tout leur coeur de faire une fréquente expérience du principe dont le prédicateur avoit tiré sa conclusion baroque .,other,conclusion,amod,1742,1740,London,London
elle m'a dit que je les trouverois en demandant le nom d'une autre de leurs filles  puisqu' elle doit être l'unique dans le royaume qui porte un nom si baroque .,other,nom,amod,1743,1740,London,London
après quoi un chanteur aussi du premier ordre nous heurla avec des nazonnemens insupportables l'air le plus mélancoliquement baroque qu'il soit possible d'entendre .,other,air,amod,1753,1750,London,London
je fis encore avec la comtesse et l'abbé une partie plus baroque que celle-ci .,other,partie,amod,1755,1750,London,London
où avez vous pris le titre baroque que vous donnez au public dans l'épître dédicatoire que vous lui adressez .,other,titre,amod,1769,1760,London,London
naturel se dit encore de tout chant qui n'est ni forcé ni baroque qui ne va ni trop haut ni trop bas ni trop vite ni trop lentement .,other,chant,-,1766,1760,London,London
une musique baroque est celle dont l'harmonie est confuse chargée de modulations et de dissonances le chant dur et peu naturel l'intonation difficile et le mouvement contraint .,other,musique,amod,1766,1760,London,London
supposition aussi baroque qu'elle est insoutenable et contraire au bons sens .,other,supposition,amod,1767,1760,London,London
a ce titre baroque et factice on reconnoit aisément l'auteur de la brochure ce protée littéraire qui depuis quelques années prend toutes sortes de formes non pas pour tromper ses semblables comme celui de la fable mais pour les éclairer et les intruire .,other,titre,amod,1777,1770,London,London
messieurs les inamovibles du régiment de guyenne se sont mis dans la tête une idée tout-à-fait baroque .,other,idée,amod,1772,1770,London,London
les juges défendent leur jugement baroque par l'autorité du roi qui a toujours déclaré qu'il ne vouloit pas de sang répandu dans cette affaire .,other,jugement,amod,1775,1770,London,London
les uns trouvoient son chant plat et commun les autres welche et baroque .,other,chant ,-,1776,1770,London,London
ils exécutaient des morceaux très difficiles sans clopiner le moins du monde et l'entrepreneur de ce concert baroque me dit qu'il se faisoit fort de styler en six mois par la méthode en question quarante sujets qui ne fussent pas la musique en fixant l'attention du monotone à un seul ton à exécuter à livre ouvert les morceaux de musique les plus difficiles .,other,concert,amod,1776,1770,London,London
on réimprime ce livre baroque à paris .,other,livre,amod,1776,1770,London,London
car c'est souvent pour avoir trop voulu s'asservir à la déclamation qu'il a rendu son chant baroque et ses transitions dures .,other,chant,amod,1776,1770,London,London
d'imbéciles fainéants et fainéantes qui végetent dans les villes et qui comme les perroquets ne savent que proférer des mots vuides de sens et d'idées se croient beaucoup d'esprit quand ils tournent en ridicule d'honnêtes et de sages agriculteurs qui ne comprenant rien à leur jargon baroque et d'amusant pour l'instant de leur folle étourderie les méprisent en les plaignant .,other,jargon,amod,1777,1770,London,London
il paraît un nouveau livre sous le titre baroque de l'an deux mille quatre cent quarante rêve s'il en fût jamais avec cette épigraphe .,other,titre,amod,1777,1770,London,London
le poème est si mauvais que les acteurs même n'y peuvent déployer aucun jeu et la musique si baroque que le chanteur n'y trouve rien à exprimer .,other,musique,amod,1777,1770,London,London
rosanie est dans le genre de la féerie et avec tout l'appareil du merveilleux ne présent qu'une intrigue très commune et un dénouement baroque dénué de sens commun .,other,dénouement,amod,1781,1780,London,London
